weightPerServing,veryHealthy,calories,Fat/g,Carbohydrates/g,Cholesterol/mg,Sodium/mg,Protein/g
226,FALSE,384.09,10.53,32.53,145.28,955.48,36.92
33,FALSE,57.07,2.28,3.79,12.76,59.43,5.13
364,TRUE,942.08,72.72,64.61,1.92,296.97,16.51
711,TRUE,1697.23,122.21,24.3,436.23,583.67,127.61
36,FALSE,112.75,5.05,13.95,10.75,276.25,3.13
83,FALSE,356.02,31.47,9.64,60.33,48.39,8.87
101,FALSE,142.07,9.24,10.67,7.2,89.34,4.44
244,FALSE,221.39,11.29,2.96,68.04,1904.29,23.79
203,TRUE,265.68,18.35,6.19,50.0,287.85,18.06
144,FALSE,581.03,16.3,88.56,8.67,107.69,20.51
88,FALSE,32.19,0.44,5.28,2.4,7.54,1.63
941,TRUE,1093.72,33.47,161.94,26.22,1319.18,37.92
211,FALSE,946.35,94.01,22.69,248.83,487.31,6.78
507,TRUE,479.22,23.3,10.23,142.94,353.64,55.94
244,FALSE,234.07,9.57,8.78,2.55,138.15,1.78
808,FALSE,673.11,19.12,111.8,16.53,1398.69,23.06
193,FALSE,487.36,52.31,5.41,18.23,1103.6,2.26
2648,TRUE,1737.43,61.63,100.41,2.91,1640.68,196.71
286,FALSE,453.01,16.45,66.33,4.8,1491.51,10.76
497,TRUE,242.49,15.35,22.91,2.92,314.57,5.85
140,FALSE,379.83,27.3,16.44,113.12,477.11,16.92
15,FALSE,59.43,5.88,1.46,15.55,212.16,0.45
478,TRUE,592.97,23.67,5.36,236.48,542.83,84.91
308,FALSE,260.24,5.29,45.64,2.47,224.62,9.15
585,TRUE,523.45,38.23,28.22,12.0,344.2,11.02
173,FALSE,273.77,19.63,20.22,2.0,172.16,6.95
233,FALSE,576.43,40.39,40.47,22.33,403.53,13.93
224,FALSE,425.57,14.88,59.35,1.08,817.52,12.25
449,FALSE,738.23,67.23,12.26,76.35,983.62,23.52
50,FALSE,210.25,22.29,2.01,14.98,43.01,1.93
59,FALSE,197.04,21.24,2.34,0.6,702.2,0.81
147,FALSE,113.29,8.95,5.48,3.4,471.72,3.85
476,TRUE,516.46,30.87,50.68,6.4,585.73,14.8
121,FALSE,334.26,24.23,25.78,52.53,148.2,4.39
21,FALSE,36.07,3.58,0.86,0.6,214.03,0.37
143,FALSE,407.33,24.11,32.57,22.8,1091.22,16.89
416,FALSE,626.35,48.02,9.03,998.64,1158.47,37.46
225,FALSE,702.78,53.03,32.66,129.75,1767.2,26.36
78,FALSE,144.9,7.14,14.73,75.08,252.86,5.71
151,TRUE,245.15,21.99,10.71,2.4,285.57,3.93
195,FALSE,407.35,15.53,45.51,144.68,652.96,21.23
276,FALSE,556.71,24.36,67.1,48.25,460.29,18.93
274,FALSE,309.83,27.98,13.58,3.6,265.49,5.7
210,TRUE,129.76,7.79,12.21,2.4,12.37,2.83
91,FALSE,102.57,8.71,3.48,7.2,16.14,3.11
34,FALSE,71.22,5.69,0.87,110.75,64.86,3.88
43,FALSE,151.25,15.39,1.03,46.63,20.6,1.85
597,FALSE,281.65,12.69,25.46,100.05,637.78,12.39
216,FALSE,164.55,14.02,7.3,7.2,218.61,4.12
61,FALSE,151.58,14.3,4.41,2.4,344.23,1.15
248,FALSE,257.5,18.85,20.22,4.8,44.0,4.07
277,FALSE,194.44,15.06,11.51,8.73,225.84,5.26
280,FALSE,413.48,10.54,23.53,123.87,299.59,44.92
111,FALSE,112.71,9.47,6.09,0.0,198.56,1.02
263,FALSE,560.27,19.16,71.74,31.74,618.73,24.65
261,TRUE,243.23,19.04,16.01,0.36,276.22,7.03
268,FALSE,731.78,72.94,19.94,4.8,2593.18,3.8
237,TRUE,102.95,5.64,12.13,0.85,256.75,3.17
486,TRUE,597.94,51.89,32.14,2.76,636.54,11.37
191,FALSE,267.55,14.77,2.61,340.81,1416.51,28.39
373,TRUE,608.31,12.75,103.82,8.67,781.15,22.18
196,FALSE,284.01,9.39,37.33,123.47,634.44,12.07
38,FALSE,49.25,4.49,1.19,6.92,92.41,1.16
114,FALSE,368.35,7.7,59.67,6.85,466.25,13.96
445,FALSE,475.56,43.81,15.01,9.99,702.78,9.79
459,FALSE,1075.04,55.14,81.95,139.41,2332.48,60.95
242,FALSE,319.55,16.9,34.3,55.13,390.04,9.07
108,FALSE,533.4,57.04,2.96,110.14,105.03,4.36
23,FALSE,132.3,14.26,0.4,3.0,200.75,1.13
90,FALSE,503.16,54.75,2.48,4.8,156.91,2.31
195,FALSE,758.72,38.31,87.35,3.6,628.08,16.88
113,FALSE,247.05,23.99,4.91,59.73,247.85,3.97
135,FALSE,100.8,6.44,9.68,2.76,35.15,2.71
131,FALSE,256.86,7.56,34.02,187.7,452.72,12.56
197,FALSE,237.71,18.75,17.89,31.68,513.6,5.29
171,FALSE,200.36,18.03,9.38,0.0,323.59,2.43
796,TRUE,1296.94,65.32,151.94,7.2,1292.57,30.41
379,TRUE,611.24,49.2,36.99,6.8,444.4,15.67
671,FALSE,505.6,11.62,43.4,31.4,1524.96,55.38
886,TRUE,1141.35,71.46,17.59,303.77,1024.51,106.13
293,FALSE,650.02,21.79,88.97,18.3,673.73,24.54
445,FALSE,662.45,12.74,95.79,285.76,2330.55,40.72
218,FALSE,373.14,10.63,52.07,23.67,936.37,18.84
223,FALSE,419.01,13.68,58.52,74.84,240.91,16.18
280,FALSE,703.18,29.57,92.52,166.73,695.48,24.59
251,FALSE,288.05,17.05,3.75,95.7,734.41,31.34
1227,TRUE,709.13,33.04,35.06,156.48,1604.97,72.1
289,FALSE,923.37,43.35,102.6,32.6,2009.32,30.26
